NAME,MSINI,MASS,A,PER,PLANETDISCMETH
Kepler-1416 b,,0.00189081,0.0263353,1.49514952,Transit
alpha Cen B b,0.00354639,0.00354639,0.0418506,3.2357,RV
Kepler-1183 b,,0.0240196,0.182625,28.5057189,Transit
mu Ara b,1.74552,1.74552,1.5273,643.25,RV
TYC 1422-614-1 c,10,10,1.39588,559.3,RV
Kepler-1109 b,,0.0163773,0.223437,37.6467384,Transit
Kepler-830 b,,0.0125983,0.10078,11.29695137,Transit
WASP-45 b,1.00188,1.00657,0.0405459,3.1260876,Transit
Kepler-916 b,,0.0129801,0.188012,32.2968798,Transit
Kepler-725 b,,0.623509,0.218045,39.64317811,Transit
KELT-8 b,0.658575,0.664032,0.0399889,3.24406,Transit
Kepler-428 b,1.28426,1.27,0.0432987,3.52563254,Transit
Kepler-1171 b,,0.0203354,0.0291019,1.44259224,Transit
Kepler-1093 c,,0.0144664,0.408538,89.722292,Transit
HD 73526 c,2.4209,2.4209,1.02831,377.8,RV
HD 108341 b,3.4773,3.4773,2.00715,1129,RV
Kepler-1330 b,,0.0122275,0.090566,10.10769068,Transit
Kepler-382 c,,0.011856,0.103505,12.162701,Transit
Kepler-667 b,,0.0739707,0.227107,41.43962808,Transit
Kepler-495 b,,0.09114,0.0421891,3.41303622,Transit
Kepler-333 c,,0.00422638,0.163234,24.08821,Transit
Kepler-17 b,2.47651,2.47943,0.0267923,1.4857108,Transit
14 Her b,5.21486,5.21486,2.93362,1773.4,RV
HAT-P-33 b,0.762345,0.763256,0.0499317,3.474474,Transit
Kepler-692 b,,0.028747,0.147513,21.81293494,Transit
Kepler-1223 b,,0.00590412,0.116802,16.301259,Transit
Kepler-1232 b,,0.014205,0.170393,26.7839183,Transit
Kepler-805 b,,0.0250657,0.204059,30.8638931,Transit
Kepler-166 c,,0.0183139,0.206443,34.260281,Transit
Kepler-1398 b,,0.00197713,0.040381,2.78815679,Transit
TRAPPIST-1 f,,0.002938,0.0383799,9.205585,Transit
WASP-139 b,0.117913,0.117935,0.0623222,5.924262,Transit
Kepler-1629 b,,0.00117254,0.0484507,3.87595807,Transit
Kepler-835 b,,0.0235163,0.101821,11.41909375,Transit
Kepler-992 b,,0.0120821,0.134576,20.16034462,Transit
Kepler-1420 b,,0.00688654,0.0650994,6.69960006,Transit
K2-19 c,,0.0677894,0.0996107,11.90715,Transit
OGLE-05-169L b,,0.04,3.41991,3300,Microlensing
HIP 79431 b,2.11299,2.11299,0.358346,111.7,RV
Kepler-562 b,,0.0903378,0.13125,18.00931444,Transit
Kepler-1476 b,,0.0123746,0.0923741,10.35863224,Transit
Kepler-870 b,,0.0233514,0.151158,21.3587621,Transit
HD 66141 b,6.01,6.01,1.24152,480.5,RV
Kepler-1155 b,,0.0150076,0.205268,33.469743,Transit
HD 171238 b,2.60901,2.60901,2.54268,1523,RV
Kepler-1292 b,,0.0133743,0.0424409,3.27646405,Transit
Kepler-1410 b,,0.0131362,0.2596,60.866168,Transit
Kepler-272 c,,0.0131908,0.0650321,6.057342,Transit
Kepler-157 c,,0.0168894,0.111181,13.5405,Transit
HIP 5158 b,1.42633,1.42633,0.887919,345.72,RV
Kepler-661 b,,0.0281267,0.0575639,6.02930132,Transit
Kepler-308 c,,0.0161415,0.121047,15.38231,Transit
WASP-46 b,2.08495,2.10232,0.0244921,1.43037,Transit
Kepler-800 b,,0.0243624,0.108362,14.13176026,Transit
Kepler-157 b,,0.00769114,0.028229,1.732342,Transit
Kepler-1268 b,,0.0150076,0.237227,40.9903986,Transit
WASP-130 b,1.23398,1.23432,0.101359,11.55098,Transit
Kepler-1034 b,,0.017125,0.0970652,12.12400943,Transit
Kepler-475 b,,0.0195285,0.0396151,3.10550819,Transit
Kepler-1541 b,,0.00485109,0.0769479,8.40691199,Transit
GJ 849 b,0.830886,0.830886,2.35317,1882,RV
Kepler-587 b,,0.0167991,0.093804,10.94027841,Transit
WASP-84 b,0.694028,0.69431,0.0771322,8.5234865,Transit
Kepler-52 d,,0.0143757,0.215129,36.445171,Transit
Kepler-1190 b,,0.00796813,0.0854126,10.45843441,Transit
Kepler-197 c,,0.00604207,0.0929448,10.349695,Transit
Kepler-599 b,,0.0241903,0.115101,15.65562652,Transit
Kepler-163 b,,0.00347154,0.0770446,7.810937,Transit
Kepler-121 c,,0.0171819,0.23273,41.008011,Transit
Kepler-191 b,,0.00809262,0.0904732,9.939632,Transit
Kepler-123 b,,0.0258466,0.130568,17.232366,Transit
Kepler-1123 b,,0.0123746,0.0508228,4.33946454,Transit
Kepler-320 b,,0.00464108,0.0806883,8.371554,Transit
HAT-P-1 b,0.531143,0.532369,0.0553326,4.4652934,Transit
Kepler-186 f,,0.00421308,0.392576,129.9459,Transit
Kepler-1025 b,,0.014644,0.22494,37.3229493,Transit
Kepler-201 b,,0.0192003,0.170313,25.672083,Transit
HD 3167 c,0.0309229,0.0309252,0.179488,29.8454,Transit
OGLE2-TR-L9 b,4.50213,4.57442,0.0413279,2.4855335,Transit
Kepler-54 b,,0.015593,0.0626016,8.0109434,Transit
Kepler-973 b,,0.0144664,0.251269,49.6077331,Transit
