week,status,age,deaths,pop,percent_of_age_group,mortality_rate_per_100k
2021-03-12,21 days or more after first dose,60-69,28.0,2533952.0,48.3,1.1
2021-03-12,21 days or more after first dose,70-79,118.0,3833109.0,89.6,3.1
2021-03-12,21 days or more after first dose,80+,297.0,1834748.0,73.3,16.2
2021-03-19,21 days or more after first dose,10-59,12.0,4023895.0,14.7,0.3
2021-03-19,21 days or more after first dose,60-69,25.0,3172011.0,60.4,0.8
2021-03-19,21 days or more after first dose,70-79,72.0,3825350.0,89.4,1.9
2021-03-19,21 days or more after first dose,80+,227.0,1721045.0,68.7,13.2
2021-03-26,21 days or more after first dose,10-59,10.0,4552548.0,16.7,0.2
2021-03-26,21 days or more after first dose,60-69,28.0,3690455.0,70.2,0.8
2021-03-26,21 days or more after first dose,70-79,56.0,3685914.0,86.1,1.5
2021-03-26,21 days or more after first dose,80+,158.0,1436005.0,57.3,11.0
2021-04-02,21 days or more after first dose,10-59,9.0,4899612.0,18.0,0.2
2021-04-02,21 days or more after first dose,60-69,14.0,4034876.0,76.8,0.3
2021-04-02,21 days or more after first dose,70-79,39.0,3254729.0,76.0,1.2
2021-04-02,21 days or more after first dose,80+,100.0,880804.0,35.2,11.4
2021-04-09,21 days or more after first dose,10-59,4.0,6396912.0,23.5,0.1
2021-04-09,21 days or more after first dose,60-69,10.0,4205714.0,80.0,0.2
2021-04-09,21 days or more after first dose,70-79,26.0,2620387.0,61.1,1.0
2021-04-09,21 days or more after first dose,80+,79.0,501072.0,20.0,15.8
2021-04-16,21 days or more after first dose,10-59,5.0,7704635.0,28.3,0.1
2021-04-16,21 days or more after first dose,60-69,8.0,4074328.0,77.5,0.2
2021-04-16,21 days or more after first dose,70-79,25.0,1769691.0,41.3,1.4
2021-04-16,21 days or more after first dose,80+,62.0,279470.0,11.1,22.2
2021-04-23,21 days or more after first dose,10-59,4.0,8265686.0,30.3,0.0
2021-04-23,21 days or more after first dose,60-69,11.0,3703152.0,70.4,0.3
2021-04-23,21 days or more after first dose,70-79,21.0,947833.0,22.1,2.2
2021-04-23,21 days or more after first dose,80+,49.0,176835.0,7.0,27.7
2021-04-30,21 days or more after first dose,10-59,0.0,8018946.0,29.4,
2021-04-30,21 days or more after first dose,60-69,5.0,3134195.0,59.5,0.2
2021-04-30,21 days or more after first dose,70-79,15.0,418959.0,9.8,3.6
2021-04-30,21 days or more after first dose,80+,23.0,122829.0,4.9,18.7
2021-05-07,21 days or more after first dose,10-59,2.0,7689369.0,28.2,
2021-05-07,21 days or more after first dose,60-69,7.0,2399957.0,45.6,0.3
2021-05-07,21 days or more after first dose,70-79,8.0,204533.0,4.8,3.9
2021-05-07,21 days or more after first dose,80+,20.0,94738.0,3.8,21.1
